PROJECTID,NAME,ADDRESS,CITY,STATE,ZIP,MSA,LATITUDE,LONGITUDE,MANAGEMENTCOMPANY,SUBMARKET,QUANTITY,AREAPERUNIT,LEVEL,YEARBUILT,MRG_CLASS,AXIOSUBMNEM,OCCUPANCY_PERCENTAGE,MARKET
64439,Hillside Gardens,101 Hill St,Stoneham,MA,2180,"Boston-Cambridge-Newton, MA-NH",42.475589752,-71.11009216,Stone Hill Realty Association,BOS_SM20,192,1050,3,1980,BC,BOS_SM20,0.99,BOS
67734,Conway Court,400 Georgetowne Dr,Hyde Park,MA,2136,"Boston-Cambridge-Newton, MA-NH",42.287799835,-71.13021088,Beacon Communities,BOS_SM8,28,597.570007324,3,1899,BC,BOS_SM8,0.99,BOS
73859,Terrace Estates,152 Shore Dr,Peabody,MA,1960,"Boston-Cambridge-Newton, MA-NH",42.535449982,-70.94407654,"Brickpoint Properties, Inc.",BOS_SM9,521,862.58001709,3,1962,BC,BOS_SM9,0.99,BOS
74926,Westford Park Apartments,1001 Westford St,Lowell,MA,1851,"Boston-Cambridge-Newton, MA-NH",42.62953186,-71.35119629,Princeton Properties,BOS_SM12,150,789.130004883,3,1985,BC,BOS_SM12,0.99,BOS
75539,Stone Bridge Apartments,38 Dean St,Norwood,MA,2062,"Boston-Cambridge-Newton, MA-NH",42.180709839,-71.20214844,"The Hamilton Company, Inc.",BOS_SM7,69,804.349975586,3,1983,BC,BOS_SM7,0.99,BOS
77127,Cohannet Village,203 Winthrop St,Taunton,MA,2780,"Providence-Warwick, RI-MA",41.892230988,-71.11052704,"The Hamilton Company, Inc.",BOS_SM11,72,875.75,2,1970,BC,BOS_SM11,0.99,BOS
78460,Stoney Brook Village,3 Stoneybrook Dr,Millis,MA,2054,"Boston-Cambridge-Newton, MA-NH",42.168041229,-71.35040283,,BOS_SM11,202,925.429992676,3,1971,A,BOS_SM11,0.99,BOS
83342,Eastbay at Weymouthport,84 Broad Reach,North Weymouth,MA,2191,"Boston-Cambridge-Newton, MA-NH",42.256408691,-70.92321777,,BOS_SM18,72,1169,6,1986,BC,BOS_SM18,0.99,BOS
84729,Princeton Crossing,12 Heritage Dr,Salem,MA,1970,"Boston-Cambridge-Newton, MA-NH",42.513248444,-70.91014862,Princeton Properties,BOS_SM9,358,674.719970703,3,1975,BC,BOS_SM9,0.99,BOS
87085,Pine Brook Place,37 Woodcock Ave,Haverhill,MA,1832,"Boston-Cambridge-Newton, MA-NH",42.781730652,-71.09546661,"The Dolben Company, Inc.",BOS_SM12,240,697.630004883,3,1971,BC,BOS_SM12,0.99,BOS
