SNO,AC_LATITUDE,AC_LONGITUDE,AC_COMPID,AC_MANAGEMENTCOMPANY,AC_PROJID,AC_NAME,AC_ADDRESS,AC_CITY,AC_STATE,AC_ZIP,AC_YEARBUIT,AC_QUANTITY,AC_AREAPERUNIT,AC_LEVEL,AC_PROJID,AC_NAME,AC_QUANTITY,AC_AREAPERUNIT,AC_YEARBUILT,MRG_CLASS,AXIOSUBMNEM,FILENAME
  290,39.163574219,-77.260162354,Mesirow Financial,Gables Residential,352,Cherry Knoll Apartments,18832 Bent Willow Cir,Germantown,MD,20874,1985,300,968.479980469,4,352,Cherry Knoll Apartments,300,968.48,1985,BC,SMD_SM7,TALEND
  291,38.971504211,-76.510421753,TruAmerica Multifamily,Greystar,353,Bayshore Landing,988 Spa Rd,Annapolis,MD,21403,1984,158,740.719970703,4,353,Bayshore Landing,158,740.72,1984,BC,BAL_SM1,TALEND
  292,39.398925781,-76.7576828,Morgan Properties,Morgan Properties,354,Chase Lea,1 Hartley Cir,Owings Mills,MD,21117,1988,296,1029.140014648,4,354,Chase Lea,296,1029.14,1988,BC,BAL_SM14,TALEND
  293,38.736305237,-77.472312927,"UDR, Inc","UDR, Inc",355,Wellington Place at Olde Town,10303 7th Regiment Dr,Manassas,VA,20110,1988,372,818.150024414,3,355,Wellington Place at Olde Town,372,818.15,1988,A,SVA_SM13,TALEND
  296,38.491676331,-77.383682251,Morgan Properties,Morgan Properties,358,The Pointe at Stafford,300 Park Ridge Ct,Stafford,VA,22554,1988,140,851.940002441,3,358,The Pointe at Stafford,140,851.94,1988,BC,SVA_SM24,TALEND
  297,39.079273224,-76.933151245,Investcorp,Polinger Shannon & Luchs Company,359,Arcadian Silver Spring,13615 Colgate Way,Silver Spring,MD,20904,1988,432,999.219970703,4,359,Arcadian Silver Spring,432,999.22,1988,BC,SMD_SM19,TALEND
  298,40.28678894,-74.680030823,AvalonBay Communities,AvalonBay Communities,360,Eaves Lawrenceville I,1000 Town Ct S,Lawrenceville,NJ,8648,1994,426,1040.300048828,3,360,Eaves Lawrenceville I,426,1040.30,1994,A,CNJ_SM9,TALEND
  299,40.284637451,-74.67779541,AvalonBay Communities,AvalonBay Communities,361,Eaves Lawrenceville II,1000 Town Ct N,Lawrenceville,NJ,8648,1996,206,1203.630004883,2,361,Eaves Lawrenceville II,206,1203.63,1996,A,CNJ_SM9,TALEND
  300,41.188224792,-73.431739807,AvalonBay Communities,AvalonBay Communities,362,Avalon Wilton on River Road,25 River Rd,Wilton,CT,6897,1997,102,1551.560058594,2,362,Avalon Wilton on River Road,102,1551.56,1997,A,FFC_SM4,TALEND
  302,42.246551514,-71.016708374,AvalonBay Communities,AvalonBay Communities,364,Eaves Quincy,150 Quarry St,Quincy,MA,2169,1994,245,932.219970703,8,364,Eaves Quincy,245,932.22,1994,BC,BOS_SM13,TALEND
  303,40.584568024,-73.664474487,AvalonBay Communities,AvalonBay Communities,365,Avalon Towers,10 W Broadway,Long Beach,NY,11561,1988,109,1139.060058594,10,365,Avalon Towers,109,1139.06,1988,A,LIS_SM7,TALEND
  304,41.389694214,-72.912483215,The Baker Companies,The Baker Companies,366,Town Walk at Hamden Hills,100 Town Walk Dr,Hamden,CT,6518,1993,764,1003.5,4,366,Town Walk at Hamden Hills,764,1003.50,1993,BC,NHC_SM1,TALEND
  306,40.298210144,-74.642990112,AvalonBay Communities,AvalonBay Communities,368,Avalon Princeton Junction,1000 Jamie Brook Ln,West Windsor,NJ,8550,1988,431,993.390014648,3,368,Avalon Princeton Junction,431,993.39,1988,BC,CNJ_SM5,TALEND
  309,41.828662872,-71.412666321,AvalonBay Communities,AvalonBay Communities,372,Avalon at Center Place,50 Park Row W,Providence,RI,2903,1991,225,999.780029297,9,372,Avalon at Center Place,225,999.78,1991,A,PRO_SM3,TALEND
  311,38.992652893,-77.036140442,The JBG Companies,The JBG Companies,374,Falkland Chase,8305 16th St,Silver Spring,MD,20910,1937,490,857.469970703,3,374,Falkland Chase,490,857.47,1937,BC,SMD_SM16,TALEND
  313,38.837997437,-77.312911987,AvalonBay Communities,AvalonBay Communities,377,Eaves Fairfax City,10608 Kitty Pozer Dr Apt E,Fairfax,VA,22030,1988,141,1051.650024414,3,377,Eaves Fairfax City,141,1051.65,1988,A,SVA_SM8,TALEND
  321,47.776538849,-122.332435608,"Essex Property Trust, Inc.","Essex Property Trust, Inc.",387,Ballinger Commons,2405 N 202nd Pl,Shoreline,WA,98133,1989,485,889.030029297,3,387,Ballinger Commons,485,889.03,1989,A,SEA_SM25,TALEND
  326,34.249134064,-118.53553009,Waterton Residential,Waterton Residential,392,Candlewood North,9830 Reseda Blvd,Northridge,CA,91324,1986,189,877.719970703,3,392,Candlewood North,189,877.72,1986,A,LAC_SM4,TALEND
  328,32.628566742,-117.035316467,MG Properties,MG Properties,394,Canyon Villa,601 Telegraph Canyon Rd,Chula Vista,CA,91910,1981,183,1013.440002441,3,394,Canyon Villa,183,1013.44,1981,A,SDC_SM13,TALEND
  330,47.712814331,-122.343032837,Rise Properties Trust,"Essex Property Trust, Inc.",397,Citywalk,1130 N 115th St,Seattle,WA,98133,1988,102,902.059997559,3,397,Citywalk,102,902.06,1988,A,SEA_SM21,TALEND
  332,32.819881439,-116.959220886,Progress Management,Progress Management,399,Countryside Village,1525 Graves Ave,El Cajon,CA,92021,1985,96,778.33001709,2,399,Countryside Village,96,778.33,1985,A,SDC_SM5,TALEND
  334,38.021656036,-122.53011322,"Essex Property Trust, Inc.","Essex Property Trust, Inc.",401,Deer Valley,2500 Deer Valley Rd,San Rafael,CA,94903,1996,171,954.340026855,3,401,Deer Valley,171,954.34,1996,A,SFR_SM12,TALEND
  337,37.556793213,-122.264060974,"Essex Property Trust, Inc.","Essex Property Trust, Inc.",404,Foster`s Landing,700 Bounty Dr,Foster City,CA,94404,1988,490,853.429992676,3,404,Foster`s Landing,490,853.43,1988,BC,SFR_SM5,TALEND
